y,x1,x2
1,1.314168264856562,1.8122962957713753
1,1.5568892741575837,1.4944081131834537
1,1.3544954154640436,1.0503090226557106
1,1.1432683116290718,1.1306217405945063
1,1.5671354627702385,1.1614383161067963
1,1.3340986578259617,1.0894531598314643
1,1.1204011905938387,1.4036140881944448
1,1.2558543242048472,1.063859867863357
1,1.3533853164408356,1.5620059224311262
1,1.8313199293334037,1.3365241079591215
1,1.7832239165436476,1.540642281062901
1,1.940152207389474,1.9132312219589949
1,1.8391990317031741,1.3868807591497898
1,1.1489850191865116,1.9602671640459448
1,1.5906760850921273,1.3846865913365036
1,1.8239626006688923,1.9416019793134183
1,1.631885365350172,1.6806356571614742
1,1.4699299614876509,1.9026423536706716
1,1.258740903576836,1.253797065699473
1,1.0245803508441895,1.4060971294529736
1,1.3288081276696175,1.0142486135009676
1,1.2248534844256938,1.1104477941989899
1,1.8773318394087255,1.5015377919189632
1,1.6776542006991804,1.3715266480576247
1,1.52593330363743,1.805915554286912
1,1.5576866639312357,1.0079228435643017
1,1.2474716734141111,1.836512059206143
1,1.007296770811081,1.3768391793128103
1,1.9489064351655543,1.3852485332172364
1,1.719150138553232,1.9515305755194277
1,1.2793245445936918,1.4756742394529283
1,1.7437828560359776,1.5520937943365425
1,1.870748400921002,1.9347163250204176
1,1.3803701251745224,1.86343625606969
1,1.7194475159049034,1.2599144843406975
1,1.2396067103836685,1.6876998345833272
1,1.6477648741565645,1.447907246183604
1,1.9756707607302815,1.21801627590321
1,1.3779988079331815,1.6862368150614202
1,1.464144128607586,1.9593820252921432
