y,x1,x2,x3
35,1.4449026284273714,1.714365339372307,1.5706440131179988
16,1.7551530920900404,1.0789741838816553,1.5606772506143898
38,1.7114702395629138,1.614216449437663,1.4341709394939244
26,1.1667563503142446,1.4932336728088558,1.96194878523238
20,1.869142389157787,1.2690976548474282,1.7112716843839735
10,1.0891845354344696,1.293110862839967,1.2584695320110768
13,1.1630136633757502,1.4752783002331853,1.9256775376852602
50,1.8493536883033812,1.9640785462688655,1.4208116631489247
24,1.6281303411815315,1.42363210208714,1.816300745587796
20,1.2084599509835243,1.8440970957744867,1.754665047628805
40,1.672860826831311,1.9538273513317108,1.412143304478377
14,1.9642056908924133,1.2864735247567296,1.514416832011193
24,1.8817388520110399,1.5408493978902698,1.5422847184818238
33,1.9617646869737655,1.5813783179037273,1.974024304188788
17,1.464693185640499,1.2562868944369256,1.073637954890728
27,1.0728773572482169,1.878083968302235,1.76950380532071
59,1.8743087535258383,1.8823023876175284,1.8725549092050642
34,1.1988728062715381,1.9873346847016364,1.989865584531799
20,1.5345897586084902,1.1016209011431783,1.9651476440485567
27,1.105562190990895,1.6187750021927059,1.6364213186316192
34,1.3839950172696263,1.7047337698750198,1.0653892939444631
21,1.747705924557522,1.1485884308349341,1.1284147549886256
33,1.6957909979391843,1.890810591634363,1.4927847804501653
12,1.0983917720150203,1.162670300109312,1.6632448602467775
13,1.6115317933727056,1.1218664695043117,1.189378713723272
29,1.020925253862515,1.9775568572804332,1.1775983932893723
29,1.6497122491709888,1.6271102654282004,1.1155603255610913
21,1.9783780702855438,1.0191994300112128,1.156952400226146
43,1.842504459200427,1.8291641445830464,1.8574108495377004
34,1.842785842018202,1.9988774752710015,1.4248605316970497
33,1.3874521625693887,1.8680955162271857,1.8783416710793972
18,1.7930711021181196,1.39691107487306,1.8248265639413148
38,1.406196559080854,1.9362417825032026,1.978819616837427
21,1.2533489051274955,1.3247728960122913,1.6345430158544332
41,1.4193039890378714,1.9724475615657866,1.6915232760366052
22,1.4954995329026133,1.562598453834653,1.792183339362964
34,1.8582459569443017,1.5793290378060192,1.0341706455219537
40,1.7322648535482585,1.824690353590995,1.8199936810415238
26,1.9744284905027598,1.1984444775152951,1.6876361626200378
33,1.1000549097079784,1.6189896350260824,1.4317768919281662
23,1.8325908370316029,1.224564614938572,1.2438757868949324
16,1.4505541778635234,1.0252237301319838,1.0081477030180395
33,1.8504591358359903,1.7565051247365773,1.4211061433888972
